谜面,谜底,提示
谜面：总做无用功 （打三字酒名）,谜底：老白干,小贴士：谜底别解为“老是白干活”。
谜面：一把手调走旧貌改 （打一成语）,谜底：改头换面,小贴士：“头”，别解为“首领”，与谜面中的“一把手”之意相扣。
谜面：戒酒 （打一词曲牌名）,谜底：春去也,小贴士：“酒”，别称为“春”。
谜面：实在讨厌 （打三字常言语）,谜底：空欢喜,小贴士：“实”与“空”相对，谜底反扣谜面。
谜面：岗位调换 （打一字）,谜底：岖,小贴士：“岗”字笔画的结构调换了，可为“岖”字。
谜面：B超验明没怀儿 （打一成语）,谜底：子虚乌有,小贴士：“子”，别解为“孩子”。
谜面：下雪 （打三字节日）,谜底：妇女节,小贴士：“雪”字的下半部分为“彐”。“妇”字节省去“女”，余下“彐”。
谜面：明星得胜 （打三字旅游用语）,谜底：两日游,小贴士：“明星”二字，游走了“两日”，即得“胜”字。
谜面：堂前池边两残花 （打一节气）,谜底：小满,小贴士：“堂”字前半部分，取“小”；“池”边，取“氵”；“残花”，取“艹”。
谜面：六一童之节 （打一字）,谜底：里,小贴士：“童”字节省掉“六一”，余下“里”字。
谜面：小伙不轻浮 （打四字体育项目）,谜底：男子举重,小贴士：“男子举重”别解为“男子举止稳重”。
谜面：听其声，出乎意料，观其貌，并非偶然 （打一字）,谜底：奇,小贴士：“奇”字，与“其”的发声相同，也有“出乎意料”的意思。观其貌，“奇”与“偶”相反。“然”作语气助词。
谜面：按日轮值 （打离合字一）,谜底：一人一天,小贴士：“一人一”合为“天”字。
谜面：要真心别存恶心 （打二字城市名）,谜底：三亚,小贴士：“真”字的中心为“三”；“恶”字不要“心”，即“亚”字。
谜面：春事已了 （打二字节气）,谜底：夏至,小贴士：“春事”，指春色、春意，引申为“春天”。
谜面：前站就是中国 （打一节气名）,谜底：立夏,小贴士：“站”字的前半部分为“立”。“夏”别解为“华夏”，指中国。
谜面：程颢兄弟创新派 （打三字学科名）,谜底：生理学,小贴士：程颢、程颐是宋代的理学家。
谜面：右盼左顾无踪影 （打一字）,谜底：颁,小贴士：“左顾无踪影”别解为“顾”字的左边，没了踪影，余下“页”，与“盼”字的右半部分组合，即为“颁”字。
谜面：失街亭单斩马谡 （打一成语）,谜底：平安无事,小贴士：诸葛亮第一次北伐时，安排马谡与王平一同驻守街亭。马谡违背诸葛亮的作战部署，先锋王平多次劝谏马谡未果，最后街亭失守，诸葛亮挥泪斩马谡，王平安然无事。谜底中的“平”，别指“王平”。
谜面：玉口难开 （打一国际组织）,谜底：联合国,小贴士：“玉口”联合起来，即“国”字。
谜面：长生果 （打三字常言）,谜底：不老实,小贴士：谜底别解为“不会老的果实”。
谜面：过目不忘 （打一文学体裁）,谜底：观后记,小贴士：谜底别解为“看过之后就记住了”。
谜面：三八线为界 （打一朝代名）,谜底：南北朝,小贴士：南朝鲜与北朝鲜以三八线为界。
